Experiment	Sector	Variable	GTAPVar	Description	Unit	Value	Type
ExB15	Mnfcs	aintsec	aintsec	aintsec	aintsec	0	tms changes
ExB15	Svces	aintsec	aintsec	aintsec	aintsec	0	TOTAL
ExB15	Svces	aintsec	aintsec	aintsec	aintsec	0	to changes
ExB15	Svces	aintsec	aintsec	aintsec	aintsec	0	txs changes
ExB15	Svces	aintsec	aintsec	aintsec	aintsec	0	tms changes
ExB15	Food	aosec	aosec	aosec	aosec	0	TOTAL
ExB15	Food	aosec	aosec	aosec	aosec	0	to changes
ExB15	Food	aosec	aosec	aosec	aosec	0	txs changes
ExB15	Food	aosec	aosec	aosec	aosec	0	tms changes
ExB15	Mnfcs	aosec	aosec	aosec	aosec	0	TOTAL
ExB15	Mnfcs	aosec	aosec	aosec	aosec	0	to changes
ExB15	Mnfcs	aosec	aosec	aosec	aosec	0	txs changes
ExB15	Mnfcs	aosec	aosec	aosec	aosec	0	tms changes
ExB15	Svces	aosec	aosec	aosec	aosec	0	TOTAL
ExB15	Svces	aosec	aosec	aosec	aosec	0	to changes
ExB15	Svces	aosec	aosec	aosec	aosec	0	txs changes
ExB15	Svces	aosec	aosec	aosec	aosec	0	tms changes
ExB15	Food	atf	atf	atf	atf	0	TOTAL
ExB15	Food	atf	atf	atf	atf	0	to changes
ExB15	Food	atf	atf	atf	atf	0	txs changes
ExB15	Food	atf	atf	atf	atf	0	tms changes
ExB15	Mnfcs	atf	atf	atf	atf	0	TOTAL
ExB15	Mnfcs	atf	atf	atf	atf	0	to changes
ExB15	Mnfcs	atf	atf	atf	atf	0	txs changes
ExB15	Mnfcs	atf	atf	atf	atf	0	tms changes
ExB15	Svces	atf	atf	atf	atf	0	TOTAL
ExB15	Svces	atf	atf	atf	atf	0	to changes
ExB15	Svces	atf	atf	atf	atf	0	txs changes
ExB15	Svces	atf	atf	atf	atf	0	tms changes
ExB15	Food	atm	atm	atm	atm	0	TOTAL
ExB15	Food	atm	atm	atm	atm	0	to changes
ExB15	Food	atm	atm	atm	atm	0	txs changes
ExB15	Food	atm	atm	atm	atm	0	tms changes
ExB15	Mnfcs	atm	atm	atm	atm	0	TOTAL
ExB15	Mnfcs	atm	atm	atm	atm	0	to changes
ExB15	Mnfcs	atm	atm	atm	atm	0	txs changes
ExB15	Mnfcs	atm	atm	atm	atm	0	tms changes
ExB15	Svces	atm	atm	atm	atm	0	TOTAL
ExB15	Svces	atm	atm	atm	atm	0	to changes
ExB15	Svces	atm	atm	atm	atm	0	txs changes
ExB15	Svces	atm	atm	atm	atm	0	tms changes
ExB15	Food	avasec	avasec	avasec	avasec	0	TOTAL
ExB15	Food	avasec	avasec	avasec	avasec	0	to changes
ExB15	Food	avasec	avasec	avasec	avasec	0	txs changes
ExB15	Food	avasec	avasec	avasec	avasec	0	tms changes
ExB15	Mnfcs	avasec	avasec	avasec	avasec	0	TOTAL
ExB15	Mnfcs	avasec	avasec	avasec	avasec	0	to changes
ExB15	Mnfcs	avasec	avasec	avasec	avasec	0	txs changes
ExB15	Mnfcs	avasec	avasec	avasec	avasec	0	tms changes
ExB15	Svces	avasec	avasec	avasec	avasec	0	TOTAL
ExB15	Svces	avasec	avasec	avasec	avasec	0	to changes
ExB15	Svces	avasec	avasec	avasec	avasec	0	txs changes
ExB15	Svces	avasec	avasec	avasec	avasec	0	tms changes
ExB15	Food	pmwcom	pmwcom	pmwcom	pmwcom	1.98636054992676	TOTAL
ExB15	Food	pmwcom	pmwcom	pmwcom	pmwcom	0.649753510951996	to changes
ExB15	Food	pmwcom	pmwcom	pmwcom	pmwcom	1.61382722854614	txs changes
ExB15	Food	pmwcom	pmwcom	pmwcom	pmwcom	-0.277219951152802	tms changes
ExB15	Mnfcs	pmwcom	pmwcom	pmwcom	pmwcom	-0.130606845021248	TOTAL
ExB15	Mnfcs	pmwcom	pmwcom	pmwcom	pmwcom	-0.00263013388030231	to changes
ExB15	Mnfcs	pmwcom	pmwcom	pmwcom	pmwcom	-0.0353659801185131	txs changes
ExB15	Mnfcs	pmwcom	pmwcom	pmwcom	pmwcom	-0.0926107317209244	tms changes
ExB15	Svces	pmwcom	pmwcom	pmwcom	pmwcom	-0.186991199851036	TOTAL
ExB15	Svces	pmwcom	pmwcom	pmwcom	pmwcom	-0.00599999772384763	to changes
ExB15	Svces	pmwcom	pmwcom	pmwcom	pmwcom	-0.0619100742042065	txs changes
