Experiment	Region	Variable	GTAPVar	Description	Unit	Value	Type
ExB14	EU	del_ttaxr	del_ttaxr	del_ttaxr	del_ttaxr	0.00224015163257718	TOTAL
ExB14	ROW	del_ttaxr	del_ttaxr	del_ttaxr	del_ttaxr	-0.000153965142089874	TOTAL
ExB14	SSA	dpav	dpav	dpav	dpav	0	TOTAL
ExB14	EU	dpav	dpav	dpav	dpav	0	TOTAL
ExB14	ROW	dpav	dpav	dpav	dpav	0	TOTAL
ExB14	SSA	dpavev	dpavev	dpavev	dpavev	0	TOTAL
ExB14	EU	dpavev	dpavev	dpavev	dpavev	0	TOTAL
ExB14	ROW	dpavev	dpavev	dpavev	dpavev	0	TOTAL
ExB14	SSA	dpgov	dpgov	dpgov	dpgov	0	TOTAL
ExB14	EU	dpgov	dpgov	dpgov	dpgov	0	TOTAL
ExB14	ROW	dpgov	dpgov	dpgov	dpgov	0	TOTAL
ExB14	SSA	dppriv	dppriv	dppriv	dppriv	0	TOTAL
ExB14	EU	dppriv	dppriv	dppriv	dppriv	0	TOTAL
ExB14	ROW	dppriv	dppriv	dppriv	dppriv	0	TOTAL
ExB14	SSA	dpsave	dpsave	dpsave	dpsave	0	TOTAL
ExB14	EU	dpsave	dpsave	dpsave	dpsave	0	TOTAL
ExB14	ROW	dpsave	dpsave	dpsave	dpsave	0	TOTAL
ExB14	SSA	dpsum	dpsum	dpsum	dpsum	0	TOTAL
ExB14	EU	dpsum	dpsum	dpsum	dpsum	0	TOTAL
ExB14	ROW	dpsum	dpsum	dpsum	dpsum	0	TOTAL
ExB14	SSA	EV	EV	EV	EV	524.71044921875	TOTAL
ExB14	EU	EV	EV	EV	EV	6254.76513671875	TOTAL
ExB14	ROW	EV	EV	EV	EV	-2886.939453125	TOTAL
ExB14	SSA	EV_ALT	EV_ALT	EV_ALT	EV_ALT	524.7109375	TOTAL
ExB14	EU	EV_ALT	EV_ALT	EV_ALT	EV_ALT	6254.7744140625	TOTAL
ExB14	ROW	EV_ALT	EV_ALT	EV_ALT	EV_ALT	-2886.93041992188	TOTAL
ExB14	SSA	fincome	fincome	fincome	fincome	1.82473254203796	TOTAL
ExB14	EU	fincome	fincome	fincome	fincome	-0.954416573047638	TOTAL
ExB14	ROW	fincome	fincome	fincome	fincome	0.382128149271011	TOTAL
ExB14	SSA	incomeslack	incomeslack	incomeslack	incomeslack	0	TOTAL
ExB14	EU	incomeslack	incomeslack	incomeslack	incomeslack	0	TOTAL
ExB14	ROW	incomeslack	incomeslack	incomeslack	incomeslack	0	TOTAL
ExB14	SSA	kb	kb	kb	kb	0	TOTAL
ExB14	EU	kb	kb	kb	kb	0	TOTAL
ExB14	ROW	kb	kb	kb	kb	0	TOTAL
ExB14	SSA	ke	ke	ke	ke	0.000622981227934361	TOTAL
ExB14	EU	ke	ke	ke	ke	0.000979404896497726	TOTAL
ExB14	ROW	ke	ke	ke	ke	0.00171174760907888	TOTAL
ExB14	SSA	p	p	p	p	1.53768455982208	TOTAL
ExB14	EU	p	p	p	p	-0.799565136432648	TOTAL
ExB14	ROW	p	p	p	p	0.381422340869904	TOTAL
ExB14	SSA	pdw	pdw	pdw	pdw	0.624179840087891	TOTAL
ExB14	EU	pdw	pdw	pdw	pdw	-0.292870223522186	TOTAL
ExB14	ROW	pdw	pdw	pdw	pdw	0.272953152656555	TOTAL
ExB14	SSA	pfactor	pfactor	pfactor	pfactor	1.69673812389374	TOTAL
ExB14	EU	pfactor	pfactor	pfactor	pfactor	-0.924578607082367	TOTAL
ExB14	ROW	pfactor	pfactor	pfactor	pfactor	0.367207288742065	TOTAL
ExB14	SSA	pgdp	pgdp	pgdp	pgdp	1.6392377614975	TOTAL
ExB14	EU	pgdp	pgdp	pgdp	pgdp	-0.813509345054626	TOTAL
ExB14	ROW	pgdp	pgdp	pgdp	pgdp	0.374598294496536	TOTAL
ExB14	SSA	pgov	pgov	pgov	pgov	1.30123174190521	TOTAL
ExB14	EU	pgov	pgov	pgov	pgov	-0.826979398727417	TOTAL
ExB14	ROW	pgov	pgov	pgov	pgov	0.294847160577774	TOTAL
ExB14	SSA	pinv	pinv	pinv	pinv	0.926695287227631	TOTAL
ExB14	EU	pinv	pinv	pinv	pinv	-0.726988554000854	TOTAL
ExB14	ROW	pinv	pinv	pinv	pinv	0.261816114187241	TOTAL
ExB14	SSA	pmwreg	pmwreg	pmwreg	pmwreg	0.62417995929718	TOTAL
ExB14	EU	pmwreg	pmwreg	pmwreg	pmwreg	-0.292870223522186	TOTAL
ExB14	ROW	pmwreg	pmwreg	pmwreg	pmwreg	0.272953152656555	TOTAL
ExB14	SSA	pop	pop	pop	pop	0	TOTAL
ExB14	EU	pop	pop	pop	pop	0	TOTAL
ExB14	ROW	pop	pop	pop	pop	0	TOTAL
ExB14	SSA	ppriv	ppriv	ppriv	ppriv	1.62365710735321	TOTAL
ExB14	EU	ppriv	ppriv	ppriv	ppriv	-0.80236405134201	TOTAL
ExB14	ROW	ppriv	ppriv	ppriv	ppriv	0.416845619678497	TOTAL
ExB14	SSA	psave	psave	psave	psave	0.947730183601379	TOTAL
ExB14	EU	psave	psave	psave	psave	-0.706298232078552	TOTAL
ExB14	ROW	psave	psave	psave	psave	0.282712519168854	TOTAL
ExB14	SSA	psaveslack	psaveslack	psaveslack	psaveslack	0	TOTAL
ExB14	EU	psaveslack	psaveslack	psaveslack	psaveslack	0	TOTAL
ExB14	ROW	psaveslack	psaveslack	psaveslack	psaveslack	0	TOTAL
ExB14	SSA	psw	psw	psw	psw	1.29977405071259	TOTAL
ExB14	EU	psw	psw	psw	psw	-0.37493833899498	TOTAL
ExB14	ROW	psw	psw	psw	psw	0.324339181184769	TOTAL
ExB14	SSA	pxwreg	pxwreg	pxwreg	pxwreg	1.29977405071259	TOTAL
ExB14	EU	pxwreg	pxwreg	pxwreg	pxwreg	-0.37493833899498	TOTAL
ExB14	ROW	pxwreg	pxwreg	pxwreg	pxwreg	0.324339181184769	TOTAL
ExB14	SSA	qgdp	qgdp	qgdp	qgdp	-0.0099310614168644	TOTAL
ExB14	EU	qgdp	qgdp	qgdp	qgdp	0.0992170944809914	TOTAL
ExB14	ROW	qgdp	qgdp	qgdp	qgdp	-0.021230535581708	TOTAL
ExB14	SSA	qinv	qinv	qinv	qinv	0.0116685032844543	TOTAL
ExB14	EU	qinv	qinv	qinv	qinv	0.0160424690693617	TOTAL
ExB14	ROW	qinv	qinv	qinv	qinv	0.0222908966243267	TOTAL
ExB14	SSA	qmwreg	qmwreg	qmwreg	qmwreg	0.636134922504425	TOTAL
ExB14	EU	qmwreg	qmwreg	qmwreg	qmwreg	0.13051101565361	TOTAL
ExB14	ROW	qmwreg	qmwreg	qmwreg	qmwreg	0.0024623170029372	TOTAL
ExB14	SSA	qpriv	qpriv	qpriv	qpriv	0.130959957838058	TOTAL
ExB14	EU	qpriv	qpriv	qpriv	qpriv	0.0851009041070938	TOTAL
ExB14	ROW	qpriv	qpriv	qpriv	qpriv	-0.0407832600176334	TOTAL
ExB14	SSA	qsave	qsave	qsave	qsave	0.686687350273132	TOTAL
ExB14	EU	qsave	qsave	qsave	qsave	0.00303352647460997	TOTAL
ExB14	ROW	qsave	qsave	qsave	qsave	0.0535243302583694	TOTAL
ExB14	SSA	qsaveev	qsaveev	qsaveev	qsaveev	0.193882495164871	TOTAL
ExB14	EU	qsaveev	qsaveev	qsaveev	qsaveev	0.0885517299175262	TOTAL
ExB14	ROW	qsaveev	qsaveev	qsaveev	qsaveev	-0.0167516302317381	TOTAL
