"Experiment","Region","Type","Variable","GTAPVar","Description","Unit","Value","Dim1"
"ExB14","SSA","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",0.0884357392787933,"Household"
"ExB14","SSA","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",0.00198450684547424,"Investment"
"ExB14","SSA","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",0.0561781488358974,"Government"
"ExB14","SSA","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",0.0230091940611601,"Exports"
"ExB14","SSA","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",-0.007756392005831,"IntnlMargins"
"ExB14","SSA","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",-0.171782821416855,"Imports"
"ExB14","EU","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",0.0517290644347668,"Household"
"ExB14","EU","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",0.00306362868286669,"Investment"
"ExB14","EU","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",0.0242394600063562,"Government"
"ExB14","EU","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",0.0327381305396557,"Exports"
"ExB14","EU","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",0.0252871159464121,"IntnlMargins"
"ExB14","EU","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",-0.0378410406410694,"Imports"
"ExB14","ROW","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",-0.0261320024728775,"Household"
"ExB14","ROW","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",0.00501498160883784,"Investment"
"ExB14","ROW","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",0.0056683961302042,"Government"
"ExB14","ROW","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",-0.00984097644686699,"Exports"
"ExB14","ROW","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",0.00448924163356423,"IntnlMargins"
"ExB14","ROW","TOTAL","contgdpexp","contgdpexp","contgdpexp","contgdpexp",-0.000431748980190605,"Imports"
"ExB14","SSA","TOTAL","endwslack","endwslack","endwslack","endwslack",0,"Land"
"ExB14","EU","TOTAL","endwslack","endwslack","endwslack","endwslack",0,"Land"
"ExB14","ROW","TOTAL","endwslack","endwslack","endwslack","endwslack",0,"Land"
"ExB14","SSA","TOTAL","endwslack","endwslack","endwslack","endwslack",0,"UnskLab"
"ExB14","EU","TOTAL","endwslack","endwslack","endwslack","endwslack",0,"UnskLab"
"ExB14","ROW","TOTAL","endwslack","endwslack","endwslack","endwslack",0,"UnskLab"
"ExB14","SSA","TOTAL","endwslack","endwslack","endwslack","endwslack",0,"SkLab"
"ExB14","EU","TOTAL","endwslack","endwslack","endwslack","endwslack",0,"SkLab"
"ExB14","ROW","TOTAL","endwslack","endwslack","endwslack","endwslack",0,"SkLab"
"ExB14","SSA","TOTAL","endwslack","endwslack","endwslack","endwslack",0,"Capital"
"ExB14","EU","TOTAL","endwslack","endwslack","endwslack","endwslack",0,"Capital"
"ExB14","ROW","TOTAL","endwslack","endwslack","endwslack","endwslack",0,"Capital"
"ExB14","SSA","TOTAL","endwslack","endwslack","endwslack","endwslack",0,"NatRes"
"ExB14","EU","TOTAL","endwslack","endwslack","endwslack","endwslack",0,"NatRes"
"ExB14","ROW","TOTAL","endwslack","endwslack","endwslack","endwslack",0,"NatRes"
"ExB14","SSA","TOTAL","expand","expand","expand","expand",0.0116685032844543,"capital"
"ExB14","EU","TOTAL","expand","expand","expand","expand",0.0160424690693617,"capital"
"ExB14","ROW","TOTAL","expand","expand","expand","expand",0.0222908966243267,"capital"
"ExB14","SSA","TOTAL","pe","pe","pe","pe",2.352858543396,"UnskLab"
"ExB14","EU","TOTAL","pe","pe","pe","pe",-0.99213969707489,"UnskLab"
"ExB14","ROW","TOTAL","pe","pe","pe","pe",0.357663214206696,"UnskLab"
"ExB14","SSA","TOTAL","pe","pe","pe","pe",1.11540806293488,"SkLab"
"ExB14","EU","TOTAL","pe","pe","pe","pe",-0.665093064308167,"SkLab"
"ExB14","ROW","TOTAL","pe","pe","pe","pe",0.221005648374557,"SkLab"
"ExB14","SSA","TOTAL","pe","pe","pe","pe",1.10852444171906,"Capital"
"ExB14","EU","TOTAL","pe","pe","pe","pe",-0.918998122215271,"Capital"
"ExB14","ROW","TOTAL","pe","pe","pe","pe",0.307435154914856,"Capital"
"ExB14","SSA","TOTAL","pe","pe","pe","pe",11.1537208557129,"Land"
"ExB14","EU","TOTAL","pe","pe","pe","pe",-15.6434164047241,"Land"
"ExB14","ROW","TOTAL","pe","pe","pe","pe",5.06690311431885,"Land"
"ExB14","SSA","TOTAL","pebfactreal","pebfactreal","pebfactreal","pebfactreal",0.717551290988922,"UnskLab"
"ExB14","EU","TOTAL","pebfactreal","pebfactreal","pebfactreal","pebfactreal",-0.191310822963715,"UnskLab"
"ExB14","ROW","TOTAL","pebfactreal","pebfactreal","pebfactreal","pebfactreal",-0.0589367672801018,"UnskLab"
"ExB14","SSA","TOTAL","pebfactreal","pebfactreal","pebfactreal","pebfactreal",-0.500128448009491,"SkLab"
"ExB14","EU","TOTAL","pebfactreal","pebfactreal","pebfactreal","pebfactreal",0.138381287455559,"SkLab"
"ExB14","ROW","TOTAL","pebfactreal","pebfactreal","pebfactreal","pebfactreal",-0.195026963949203,"SkLab"
"ExB14","SSA","TOTAL","pebfactreal","pebfactreal","pebfactreal","pebfactreal",-0.506902098655701,"Capital"
"ExB14","EU","TOTAL","pebfactreal","pebfactreal","pebfactreal","pebfactreal",-0.117577634751797,"Capital"
"ExB14","ROW","TOTAL","pebfactreal","pebfactreal","pebfactreal","pebfactreal",-0.108956329524517,"Capital"
"ExB14","SSA","TOTAL","pebfactreal","pebfactreal","pebfactreal","pebfactreal",9.3778018951416,"Land"
"ExB14","EU","TOTAL","pebfactreal","pebfactreal","pebfactreal","pebfactreal",-14.9610986709595,"Land"
"ExB14","ROW","TOTAL","pebfactreal","pebfactreal","pebfactreal","pebfactreal",4.6307544708252,"Land"
"ExB14","SSA","TOTAL","pefactreal","pefactreal","pefactreal","pefactreal",0.717551231384277,"UnskLab"
"ExB14","EU","TOTAL","pefactreal","pefactreal","pefactreal","pefactreal",-0.191310778260231,"UnskLab"
"ExB14","ROW","TOTAL","pefactreal","pefactreal","pefactreal","pefactreal",-0.0589367747306824,"UnskLab"
"ExB14","SSA","TOTAL","pefactreal","pefactreal","pefactreal","pefactreal",-0.500128448009491,"SkLab"
"ExB14","EU","TOTAL","pefactreal","pefactreal","pefactreal","pefactreal",0.13838130235672,"SkLab"
"ExB14","ROW","TOTAL","pefactreal","pefactreal","pefactreal","pefactreal",-0.195026993751526,"SkLab"
"ExB14","SSA","TOTAL","pefactreal","pefactreal","pefactreal","pefactreal",-0.506902098655701,"Capital"
"ExB14","EU","TOTAL","pefactreal","pefactreal","pefactreal","pefactreal",-0.117577597498894,"Capital"
"ExB14","ROW","TOTAL","pefactreal","pefactreal","pefactreal","pefactreal",-0.108956307172775,"Capital"
"ExB14","SSA","TOTAL","pefactreal","pefactreal","pefactreal","pefactreal",9.3778018951416,"Land"
"ExB14","EU","TOTAL","pefactreal","pefactreal","pefactreal","pefactreal",-14.9610986709595,"Land"
"ExB14","ROW","TOTAL","pefactreal","pefactreal","pefactreal","pefactreal",4.6307544708252,"Land"
"ExB14","SSA","TOTAL","qe","qe","qe","qe",0,"UnskLab"
"ExB14","EU","TOTAL","qe","qe","qe","qe",0,"UnskLab"
"ExB14","ROW","TOTAL","qe","qe","qe","qe",0,"UnskLab"
"ExB14","SSA","TOTAL","qe","qe","qe","qe",0,"SkLab"
"ExB14","EU","TOTAL","qe","qe","qe","qe",0,"SkLab"
"ExB14","ROW","TOTAL","qe","qe","qe","qe",0,"SkLab"
"ExB14","SSA","TOTAL","qe","qe","qe","qe",0,"Capital"
"ExB14","EU","TOTAL","qe","qe","qe","qe",0,"Capital"
"ExB14","ROW","TOTAL","qe","qe","qe","qe",0,"Capital"
"ExB14","SSA","TOTAL","qe","qe","qe","qe",0,"Land"
"ExB14","EU","TOTAL","qe","qe","qe","qe",0,"Land"
"ExB14","ROW","TOTAL","qe","qe","qe","qe",0,"Land"
"ExB14","SSA","TOTAL","qst","qst","qst","qst",-0.543650031089783,"Svces"
"ExB14","EU","TOTAL","qst","qst","qst","qst",1.63057601451874,"Svces"
"ExB14","ROW","TOTAL","qst","qst","qst","qst",0.479311108589172,"Svces"
"ExB15","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-154.855880737305,"prodtax"
"ExB15","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",0,"pfacttax"
"ExB15","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-1.80359784280881e-05,"inctax"
"ExB15","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-31.062427520752,"inputtax"
"ExB15","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-9.05222320556641,"contax"
"ExB15","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-2.26105737686157,"invtax"
"ExB15","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",2.16804051399231,"govtax"
"ExB15","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",98.1474838256836,"xtax"
"ExB15","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",65.5063629150391,"mtax"
"ExB15","SSA","to changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-15.0588417053223,"prodtax"
"ExB15","SSA","to changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",0,"pfacttax"
"ExB15","SSA","to changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-1.57766714892205e-06,"inctax"
"ExB15","SSA","to changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-2.92368245124817,"inputtax"
"ExB15","SSA","to changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",1.55597257614136,"contax"
"ExB15","SSA","to changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-0.144302204251289,"invtax"
"ExB15","SSA","to changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",0.229144975543022,"govtax"
"ExB15","SSA","to changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",12.238657951355,"xtax"
"ExB15","SSA","to changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",3.81468176841736,"mtax"
"ExB15","SSA","txs changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-33.9202461242676,"prodtax"
"ExB15","SSA","txs changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",0,"pfacttax"
"ExB15","SSA","txs changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-6.98322764947079e-06,"inctax"
"ExB15","SSA","txs changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-8.32989406585693,"inputtax"
"ExB15","SSA","txs changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-48.5937805175781,"contax"
"ExB15","SSA","txs changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",0.121546283364296,"invtax"
"ExB15","SSA","txs changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",0.132801041007042,"govtax"
"ExB15","SSA","txs changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-31.3066673278809,"xtax"
"ExB15","SSA","txs changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",59.420711517334,"mtax"
"ExB15","SSA","tms changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-105.881187438965,"prodtax"
"ExB15","SSA","tms changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",0,"pfacttax"
"ExB15","SSA","tms changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-9.47510670812335e-06,"inctax"
"ExB15","SSA","tms changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-19.8088569641113,"inputtax"
"ExB15","SSA","tms changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",37.9855842590332,"contax"
"ExB15","SSA","tms changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-2.23830270767212,"invtax"
"ExB15","SSA","tms changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",1.80620908737183,"govtax"
"ExB15","SSA","tms changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",117.21549987793,"xtax"
"ExB15","SSA","tms changes","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",2.2709584236145,"mtax"
"ExB15","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",2623.00048828125,"prodtax"
"ExB15","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",0,"pfacttax"
"ExB15","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-0.000451504602096975,"inctax"
"ExB15","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",155.381591796875,"inputtax"
"ExB15","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",131.920715332031,"contax"
"ExB15","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-2.61830377578735,"invtax"
"ExB15","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",25.9280109405518,"govtax"
"ExB15","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",3423.16748046875,"xtax"
"ExB15","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",1787.63745117188,"mtax"
