"Experiment","Sector","Type","Variable","GTAPVar","Description","Unit","Value","Region"
"ExB14","Food","TOTAL","CNTtech_aint","CNTtech_aint","CNTtech_aint","CNTtech_aint",0,"ROW"
"ExB14","Mnfcs","TOTAL","CNTtech_aint","CNTtech_aint","CNTtech_aint","CNTtech_aint",0,"SSA"
"ExB14","Mnfcs","TOTAL","CNTtech_aint","CNTtech_aint","CNTtech_aint","CNTtech_aint",0,"EU"
"ExB14","Mnfcs","TOTAL","CNTtech_aint","CNTtech_aint","CNTtech_aint","CNTtech_aint",0,"ROW"
"ExB14","Svces","TOTAL","CNTtech_aint","CNTtech_aint","CNTtech_aint","CNTtech_aint",0,"SSA"
"ExB14","Svces","TOTAL","CNTtech_aint","CNTtech_aint","CNTtech_aint","CNTtech_aint",0,"EU"
"ExB14","Svces","TOTAL","CNTtech_aint","CNTtech_aint","CNTtech_aint","CNTtech_aint",0,"ROW"
"ExB14","Food","TOTAL","CNTtech_ao","CNTtech_ao","CNTtech_ao","CNTtech_ao",0,"SSA"
"ExB14","Food","TOTAL","CNTtech_ao","CNTtech_ao","CNTtech_ao","CNTtech_ao",0,"EU"
"ExB14","Food","TOTAL","CNTtech_ao","CNTtech_ao","CNTtech_ao","CNTtech_ao",0,"ROW"
"ExB14","Mnfcs","TOTAL","CNTtech_ao","CNTtech_ao","CNTtech_ao","CNTtech_ao",0,"SSA"
"ExB14","Mnfcs","TOTAL","CNTtech_ao","CNTtech_ao","CNTtech_ao","CNTtech_ao",0,"EU"
"ExB14","Mnfcs","TOTAL","CNTtech_ao","CNTtech_ao","CNTtech_ao","CNTtech_ao",0,"ROW"
"ExB14","Svces","TOTAL","CNTtech_ao","CNTtech_ao","CNTtech_ao","CNTtech_ao",0,"SSA"
"ExB14","Svces","TOTAL","CNTtech_ao","CNTtech_ao","CNTtech_ao","CNTtech_ao",0,"EU"
"ExB14","Svces","TOTAL","CNTtech_ao","CNTtech_ao","CNTtech_ao","CNTtech_ao",0,"ROW"
"ExB14","Food","TOTAL","CNTtech_ava","CNTtech_ava","CNTtech_ava","CNTtech_ava",0,"SSA"
"ExB14","Food","TOTAL","CNTtech_ava","CNTtech_ava","CNTtech_ava","CNTtech_ava",0,"EU"
"ExB14","Food","TOTAL","CNTtech_ava","CNTtech_ava","CNTtech_ava","CNTtech_ava",0,"ROW"
"ExB14","Mnfcs","TOTAL","CNTtech_ava","CNTtech_ava","CNTtech_ava","CNTtech_ava",0,"SSA"
"ExB14","Mnfcs","TOTAL","CNTtech_ava","CNTtech_ava","CNTtech_ava","CNTtech_ava",0,"EU"
"ExB14","Mnfcs","TOTAL","CNTtech_ava","CNTtech_ava","CNTtech_ava","CNTtech_ava",0,"ROW"
"ExB14","Svces","TOTAL","CNTtech_ava","CNTtech_ava","CNTtech_ava","CNTtech_ava",0,"SSA"
"ExB14","Svces","TOTAL","CNTtech_ava","CNTtech_ava","CNTtech_ava","CNTtech_ava",0,"EU"
"ExB14","Svces","TOTAL","CNTtech_ava","CNTtech_ava","CNTtech_ava","CNTtech_ava",0,"ROW"
"ExB14","Food","TOTAL","compvalad","compvalad","compvalad","compvalad",4.76122999191284,"SSA"
"ExB14","Food","TOTAL","compvalad","compvalad","compvalad","compvalad",-8.8782901763916,"EU"
"ExB14","Food","TOTAL","compvalad","compvalad","compvalad","compvalad",2.32474231719971,"ROW"
"ExB14","Mnfcs","TOTAL","compvalad","compvalad","compvalad","compvalad",-2.58869624137878,"SSA"
"ExB14","Mnfcs","TOTAL","compvalad","compvalad","compvalad","compvalad",1.42105150222778,"EU"
"ExB14","Mnfcs","TOTAL","compvalad","compvalad","compvalad","compvalad",-0.537589550018311,"ROW"
"ExB14","Svces","TOTAL","compvalad","compvalad","compvalad","compvalad",-0.498741537332535,"SSA"
"ExB14","Svces","TOTAL","compvalad","compvalad","compvalad","compvalad",0.12994983792305,"EU"
"ExB14","Svces","TOTAL","compvalad","compvalad","compvalad","compvalad",-0.0423658601939678,"ROW"
"ExB14","Food","TOTAL","del_tbalc","del_tbalc","del_tbalc","del_tbalc",4195.2470703125,"SSA"
"ExB14","Food","TOTAL","del_tbalc","del_tbalc","del_tbalc","del_tbalc",-59969.546875,"EU"
"ExB14","Food","TOTAL","del_tbalc","del_tbalc","del_tbalc","del_tbalc",52910.796875,"ROW"
"ExB14","Mnfcs","TOTAL","del_tbalc","del_tbalc","del_tbalc","del_tbalc",-3374.01293945312,"SSA"
"ExB14","Mnfcs","TOTAL","del_tbalc","del_tbalc","del_tbalc","del_tbalc",47419.48828125,"EU"
"ExB14","Mnfcs","TOTAL","del_tbalc","del_tbalc","del_tbalc","del_tbalc",-43672.7734375,"ROW"
"ExB14","Svces","TOTAL","del_tbalc","del_tbalc","del_tbalc","del_tbalc",-797.402221679688,"SSA"
"ExB14","Svces","TOTAL","del_tbalc","del_tbalc","del_tbalc","del_tbalc",12038.896484375,"EU"
"ExB14","Svces","TOTAL","del_tbalc","del_tbalc","del_tbalc","del_tbalc",-8750.681640625,"ROW"
"ExB14","Food","TOTAL","pb","pb","pb","pb",2.46795511245728,"SSA"
"ExB14","Food","TOTAL","pb","pb","pb","pb",-0.201753631234169,"EU"
"ExB14","Food","TOTAL","pb","pb","pb","pb",0.953637003898621,"ROW"
"ExB14","Mnfcs","TOTAL","pb","pb","pb","pb",0.924817085266113,"SSA"
"ExB14","Mnfcs","TOTAL","pb","pb","pb","pb",-0.755359351634979,"EU"
"ExB14","Mnfcs","TOTAL","pb","pb","pb","pb",0.264348775148392,"ROW"
"ExB14","Svces","TOTAL","pb","pb","pb","pb",1.3361599445343,"SSA"
"ExB14","Svces","TOTAL","pb","pb","pb","pb",-0.831752836704254,"EU"
"ExB14","Svces","TOTAL","pb","pb","pb","pb",0.304490089416504,"ROW"
"ExB14","Food","TOTAL","pds","pds","pds","pds",2.46795511245728,"SSA"
"ExB14","Food","TOTAL","pds","pds","pds","pds",-0.201753631234169,"EU"
"ExB14","Food","TOTAL","pds","pds","pds","pds",0.953637003898621,"ROW"
"ExB14","Mnfcs","TOTAL","pds","pds","pds","pds",0.924817085266113,"SSA"
"ExB14","Mnfcs","TOTAL","pds","pds","pds","pds",-0.755359351634979,"EU"
"ExB14","Mnfcs","TOTAL","pds","pds","pds","pds",0.264348775148392,"ROW"
"ExB14","Svces","TOTAL","pds","pds","pds","pds",1.3361599445343,"SSA"
"ExB14","Svces","TOTAL","pds","pds","pds","pds",-0.831752836704254,"EU"
"ExB14","Svces","TOTAL","pds","pds","pds","pds",0.304490089416504,"ROW"
"ExB14","Food","TOTAL","pga","pga","pga","pga",3.45337772369385,"SSA"
"ExB14","Food","TOTAL","pga","pga","pga","pga",-2.55488014221191,"EU"
"ExB14","Food","TOTAL","pga","pga","pga","pga",1.11729848384857,"ROW"
"ExB14","Mnfcs","TOTAL","pga","pga","pga","pga",0.720951676368713,"SSA"
"ExB14","Mnfcs","TOTAL","pga","pga","pga","pga",-0.560250282287598,"EU"
"ExB14","Mnfcs","TOTAL","pga","pga","pga","pga",0.228202626109123,"ROW"
"ExB14","Svces","TOTAL","pga","pga","pga","pga",1.30650770664215,"SSA"
"ExB14","Svces","TOTAL","pga","pga","pga","pga",-0.827085316181183,"EU"
"ExB14","Svces","TOTAL","pga","pga","pga","pga",0.297545790672302,"ROW"
"ExB14","Food","TOTAL","pgd","pgd","pgd","pgd",2.46795511245728,"SSA"
"ExB14","Food","TOTAL","pgd","pgd","pgd","pgd",-0.201753631234169,"EU"
"ExB14","Food","TOTAL","pgd","pgd","pgd","pgd",0.953637003898621,"ROW"
"ExB14","Mnfcs","TOTAL","pgd","pgd","pgd","pgd",0.924817085266113,"SSA"
"ExB14","Mnfcs","TOTAL","pgd","pgd","pgd","pgd",-0.755359351634979,"EU"
"ExB14","Mnfcs","TOTAL","pgd","pgd","pgd","pgd",0.264348775148392,"ROW"
"ExB14","Svces","TOTAL","pgd","pgd","pgd","pgd",1.3361599445343,"SSA"
"ExB14","Svces","TOTAL","pgd","pgd","pgd","pgd",-0.831752836704254,"EU"
"ExB14","Svces","TOTAL","pgd","pgd","pgd","pgd",0.304490089416504,"ROW"
"ExB14","Food","TOTAL","pgm","pgm","pgm","pgm",8.26831817626953,"SSA"
"ExB14","Food","TOTAL","pgm","pgm","pgm","pgm",-4.35811328887939,"EU"
"ExB14","Food","TOTAL","pgm","pgm","pgm","pgm",3.64217853546143,"ROW"
"ExB14","Mnfcs","TOTAL","pgm","pgm","pgm","pgm",-0.170815855264664,"SSA"
"ExB14","Mnfcs","TOTAL","pgm","pgm","pgm","pgm",-0.358090460300446,"EU"
"ExB14","Mnfcs","TOTAL","pgm","pgm","pgm","pgm",0.0145800830796361,"ROW"
"ExB14","Svces","TOTAL","pgm","pgm","pgm","pgm",-0.196932315826416,"SSA"
"ExB14","Svces","TOTAL","pgm","pgm","pgm","pgm",-0.317950844764709,"EU"
"ExB14","Svces","TOTAL","pgm","pgm","pgm","pgm",-0.0829831883311272,"ROW"
"ExB14","Food","TOTAL","pia","pia","pia","pia",2.9925422668457,"SSA"
"ExB14","Food","TOTAL","pia","pia","pia","pia",-3.00420022010803,"EU"
"ExB14","Food","TOTAL","pia","pia","pia","pia",1.35338127613068,"ROW"
"ExB14","Mnfcs","TOTAL","pia","pia","pia","pia",0.395038276910782,"SSA"
"ExB14","Mnfcs","TOTAL","pia","pia","pia","pia",-0.605543494224548,"EU"
"ExB14","Mnfcs","TOTAL","pia","pia","pia","pia",0.187288150191307,"ROW"
"ExB14","Svces","TOTAL","pia","pia","pia","pia",1.32632040977478,"SSA"
"ExB14","Svces","TOTAL","pia","pia","pia","pia",-0.826314926147461,"EU"
"ExB14","Svces","TOTAL","pia","pia","pia","pia",0.303088486194611,"ROW"
"ExB14","Food","TOTAL","pid","pid","pid","pid",2.46795511245728,"SSA"
"ExB14","Food","TOTAL","pid","pid","pid","pid",-0.201753631234169,"EU"
"ExB14","Food","TOTAL","pid","pid","pid","pid",0.953637003898621,"ROW"
"ExB14","Mnfcs","TOTAL","pid","pid","pid","pid",0.924817085266113,"SSA"
"ExB14","Mnfcs","TOTAL","pid","pid","pid","pid",-0.755359351634979,"EU"
